timestamp,x,angle,theta1,theta2,x_target,phi_target,pwm_x,pwm_phi
0.072,0,0.132,-0.0013,-0.0077,1.6,20,0,0
0.119,0,0.132,-0.0026,-0.0077,1.6,20,0,-5
0.153,0,0.132,-0.0013,-0.0077,1.6,20,0,-5
0.217,0,0.132,-0.0026,-0.0077,1.6,20,0,-5
0.27,0,0.132,-0.0013,-0.0077,1.6,20,0,-5
0.333,0,0.132,-0.0026,-0.0077,1.6,20,0,-5
0.395,0,0.132,-0.0038,-0.0077,1.6,20,0,-5
0.475,0,0.132,-0.0026,-0.0077,1.6,20,0,-5
0.553,0,0.132,-0.0013,-0.0077,1.6,20,0,-5
0.599,0,0.132,-0.0013,-0.0077,1.6,20,1,-5
0.636,0,0.132,-0.0013,-0.0077,1.6,20,1,-5
0.675,0,0.132,-0.0013,-0.009,1.6,20,1,-4
0.736,0,0.132,0,-0.009,1.6,20,1,-4
0.798,0,0.132,0.0013,-0.009,1.6,20,2,-4
0.862,0,0.132,0,-0.009,1.6,20,2,-3
0.922,0,0.132,0.0013,-0.009,1.6,20,3,-2
0.96,0,0.132,0,-0.009,1.6,20,4,-2
1.012,0,0.132,0.0013,-0.009,1.6,20,4,-1
1.076,0,0.132,0,-0.009,1.6,20,5,0
1.135,0,0.132,0,-0.009,1.6,20,6,1
1.196,0,0.132,0,-0.009,1.6,20,7,2
1.233,0,0.132,-0.0013,-0.009,1.6,20,8,3
1.29,0,0.132,-0.0013,-0.009,1.6,20,9,4
1.326,0,0.132,-0.0013,-0.0077,1.6,20,10,5
1.386,0,0.132,-0.0026,-0.009,1.6,20,11,7
1.459,0,0.132,-0.0026,-0.009,1.6,20,13,8
1.511,0,0.132,-0.0013,-0.0077,1.6,20,15,11
1.576,0,0.132,-0.0013,-0.0077,1.6,20,16,13
1.636,0,0.132,-0.0013,-0.0077,1.6,20,19,15
1.698,0,0.132,-0.0013,-0.0077,1.6,20,21,18
1.771,0,0.132,-0.0013,-0.0064,1.6,20,23,21
1.825,0,0.132,-0.0013,-0.009,1.6,20,26,24
1.884,0,0.132,-0.0013,-0.0077,1.6,20,29,27
1.919,0,0.132,-0.0013,-0.0077,1.6,20,32,31
1.993,0,0.132,0,-0.009,1.6,20,34,32
2.043,0,0.132,0,-0.009,1.6,20,38,37
2.102,0,0.132,0,-0.009,1.6,20,41,41
2.138,0,0.132,0,-0.009,1.6,20,45,45
2.194,0,0.132,0,-0.009,1.6,20,46,47
2.229,0,0.132,0,-0.009,1.6,20,50,52
2.292,0,0.132,-0.0013,-0.009,1.6,20,53,54
2.353,0,0.132,-0.0013,-0.009,1.6,20,58,60
2.415,0,0.132,-0.0013,-0.009,1.6,20,62,65
2.479,0,0.132,-0.0013,-0.009,1.6,20,67,71
2.54,0,0.137,-0.0013,-0.0077,1.6,20,72,77
2.685,0,0.137,-0.0026,-0.0077,1.6,20,77,83
2.728,0,0.137,-0.0026,-0.0077,1.6,20,91,99
2.788,0,0.137,-0.0013,-0.0077,1.6,20,95,100
2.854,0,0.132,-0.0026,-0.0077,1.6,20,100,100
2.915,0,0.132,-0.0013,-0.0077,1.6,20,100,100
2.977,0,0.132,-0.0013,-0.0077,1.6,20,100,100
3.035,0,0.132,-0.0013,-0.0077,1.6,20,100,100
3.103,0,0.132,-0.0013,-0.0077,1.6,20,100,100
3.164,0,0.132,-0.0077,-0.009,1.6,20,100,100
3.226,0.1325,0.132,-0.0051,-0.009,1.6,20,100,100
3.263,0.1325,0.132,-0.0026,-0.0102,1.6,20,93,100
3.299,0.1325,0.132,-0.0051,-0.0115,1.6,20,99,100
3.362,0.1325,0.132,-0.0141,-0.0141,1.6,20,100,100
3.422,0.1325,0.132,-0.0064,-0.032,1.6,20,100,100
3.483,0.1325,0.917,-0.0051,-0.0358,1.6,20,100,100
3.549,0.315,0.917,-0.0102,-0.0358,1.6,20,100,100
3.611,0.315,0.917,-0.0115,-0.0205,1.6,20,56,100
3.672,0.315,0.917,-0.0038,-0.0396,1.6,20,66,100
3.732,0.315,0.917,0.0013,-0.0358,1.6,20,77,100
3.794,0.315,0.917,0.0064,-0.0269,1.6,20,86,100
3.86,0.315,2.373,0.0051,-0.0205,1.6,20,96,100
3.92,0.4925,2.373,0.0077,-0.0179,1.6,20,100,100
3.994,0.4925,2.373,0.0154,-0.0128,1.6,20,36,100
4.046,0.4925,2.373,0.0154,-0.0115,1.6,20,50,100
4.107,0.4925,2.373,0.0128,0.0064,1.6,20,59,100
4.179,0.4925,3.543,0.0128,0.009,1.6,20,70,100
4.231,0.6575,3.543,0.0064,0.0141,1.6,20,83,100
4.263,0.6575,3.543,0.0077,0.0154,1.6,20,18,100
4.324,0.6575,3.543,0.0077,0.0154,1.6,20,26,100
4.387,0.6575,3.543,-0.0026,0.0192,1.6,20,38,100
4.446,0.6575,3.543,0,0.0115,1.6,20,49,100
4.481,0.6575,5.092,-0.0013,0.0077,1.6,20,61,100
4.544,0.6575,5.092,-0.0051,0.0026,1.6,20,67,100
4.607,0.6575,5.092,-0.0077,-0.0166,1.6,20,81,100
4.677,0.6575,5.092,-0.0077,-0.0166,1.6,20,94,100
4.727,0.6575,5.092,-0.0064,-0.0141,1.6,20,100,100
4.792,0.6575,6.13,-0.0051,-0.032,1.6,20,100,100
4.851,0.6575,6.13,-0.0013,-0.0345,1.6,20,100,100
4.885,0.6575,6.13,0.0013,-0.0358,1.6,20,100,100
4.918,0.6575,6.13,0.0013,-0.0358,1.6,20,100,100
4.952,0.6575,6.13,0.0013,-0.0358,1.6,20,100,100
4.984,0.6575,6.13,0.0026,-0.0345,1.6,20,100,100
5.027,0.6575,6.13,0.0038,-0.032,1.6,20,100,100
5.069,0.6575,6.13,0.0038,-0.023,1.6,20,100,100
5.131,0.6575,6.888,0.0077,-0.0179,1.6,20,100,100
5.167,0.6575,6.888,0.0051,0.0026,1.6,20,100,100
5.231,0.6575,6.888,-0.0038,0.0051,1.6,20,100,100
5.263,0.6575,6.888,-0.0102,0.0051,1.6,20,100,100
5.297,0.6575,6.888,-0.0102,0.0051,1.6,20,100,100
5.362,0.6575,6.888,-0.0102,0.0064,1.6,20,100,100
5.424,0.6575,6.888,-0.0102,0.0077,1.6,20,100,100
5.477,0.6575,7.866,-0.0115,0.0077,1.6,20,100,100
5.512,0.6575,7.866,-0.0115,0.0077,1.6,20,100,100
5.559,0.84,7.866,-0.0179,0.009,1.6,20,100,100
5.612,0.84,7.866,-0.0154,0.0013,1.6,20,100,100
5.675,0.84,7.866,-0.0141,-0.009,1.6,20,100,100
5.736,0.84,7.866,-0.009,-0.0166,1.6,20,100,100
5.796,0.84,9.492,-0.0102,-0.0166,1.6,20,100,100
5.831,0.84,9.492,-0.0141,-0.0141,1.6,20,100,100
5.893,1.0175,9.492,-0.0077,-0.0141,1.6,20,100,100
5.953,1.0175,9.492,0.0013,-0.0179,1.6,20,100,100
6.015,1.0175,9.492,0.0154,-0.0333,1.6,20,100,100
6.078,1.0175,9.492,0.0192,-0.032,1.6,20,100,100
6.142,1.0175,10.481,0.0179,-0.0294,1.6,20,100,100
6.199,1.1925,10.481,0.0166,-0.0192,1.6,20,100,100
6.236,1.1925,10.481,0.0179,-0.0192,1.6,20,100,100
6.293,1.1925,10.481,0.0154,-0.0154,1.6,20,100,100
6.359,1.1925,10.481,0.0013,-0.0051,1.6,20,100,100
6.421,1.1925,10.481,0.0013,-0.0051,1.6,20,100,100
6.497,1.1925,11.233,-0.0051,0.0026,1.6,20,100,100
6.545,1.3675,11.233,-0.0064,0.0013,1.6,20,100,100
6.608,1.3675,11.233,-0.0064,0,1.6,20,100,100
6.669,1.3675,11.233,-0.0064,0.0013,1.6,20,100,100
6.732,1.3675,11.233,-0.0166,0.0026,1.6,20,100,100
6.792,1.3675,12.513,-0.0179,0.0026,1.6,20,100,100
6.855,1.5425,12.513,-0.0256,-0.0077,1.6,20,100,100
6.915,1.5425,12.513,-0.0166,-0.0166,1.6,20,32,100
6.95,1.5425,12.513,-0.0192,-0.0179,1.6,20,32,100
7.012,1.5425,12.513,-0.0141,-0.0077,1.6,20,32,100
7.073,1.5425,12.513,-0.0038,-0.032,1.6,20,32,100
7.133,1.5425,13.524,0,-0.032,1.6,20,32,100
7.168,1.7175,13.524,0.0077,-0.0333,1.6,20,32,100
7.227,1.7175,13.524,0.0077,-0.0192,1.6,20,-47,100
7.288,1.7175,13.524,0.0115,-0.0192,1.6,20,-47,100
7.35,1.7175,13.524,0.0115,-0.0179,1.6,20,-47,100
7.412,1.7175,13.524,0.0102,-0.0166,1.6,20,-47,100
7.475,1.7175,14.397,0.0128,-0.0102,1.6,20,-47,100
7.518,1.7175,14.397,0.0115,-0.0102,1.6,20,-47,100
7.582,1.7175,14.397,0.0115,-0.0051,1.6,20,-47,100
7.643,1.7175,14.397,0.0115,-0.0102,1.6,20,-47,100
7.708,1.7175,14.397,0.0013,0,1.6,20,-47,100
7.777,1.7175,15.787,-0.0013,0.0013,1.6,20,-47,100
7.812,1.7175,15.787,-0.0051,0,1.6,20,-47,100
7.849,1.7175,15.787,-0.009,0,1.6,20,-47,100
7.907,1.7175,15.787,-0.0141,0.0026,1.6,20,-47,100
7.971,1.7175,15.787,-0.0218,-0.0102,1.6,20,-47,100
8.045,1.7175,15.787,-0.0243,-0.0115,1.6,20,-47,100
8.093,1.7175,16.858,-0.0218,-0.0128,1.6,20,-47,100
8.158,1.7175,16.858,-0.023,-0.0166,1.6,20,-47,100
8.228,1.7175,16.858,-0.0179,-0.0205,1.6,20,-47,100
8.291,1.7175,16.858,-0.0166,-0.0192,1.6,20,-47,100
8.339,1.7175,16.858,-0.0102,-0.0269,1.6,20,-47,100
8.369,1.7175,16.858,-0.0077,-0.0269,1.6,20,-47,100
8.407,1.7175,16.858,-0.0064,-0.0166,1.6,20,-47,100
8.468,1.7175,18.001,0.0038,-0.0166,1.6,20,-47,100
8.536,1.7175,18.001,0.0051,-0.0154,1.6,20,-47,100
8.593,1.7175,18.001,0.009,-0.0154,1.6,20,-48,100
8.658,1.7175,18.001,0.009,-0.0141,1.6,20,-48,100
8.729,1.7175,18.001,0.0064,-0.0141,1.6,20,-48,100
8.784,1.7175,18.995,0.0064,-0.0154,1.6,20,-48,100
8.842,1.7175,18.995,0.0064,-0.0141,1.6,20,-48,100
8.905,1.7175,18.995,-0.0026,-0.0064,1.6,20,-48,100
8.965,1.7175,18.995,-0.0064,-0.0064,1.6,20,-48,100
9.03,1.7175,18.995,-0.009,-0.0064,1.6,20,-48,100
9.091,1.7175,18.995,-0.009,-0.0064,1.6,20,-48,100
9.147,1.7175,19.973,-0.0205,-0.0115,1.6,20,-48,100
9.182,1.7175,19.973,-0.0205,-0.0141,1.6,20,-48,100
9.23,1.7175,19.973,-0.0218,-0.0166,1.6,20,-48,100
9.278,1.7175,19.973,-0.0205,-0.0179,1.6,20,-48,100
9.344,1.7175,19.973,-0.0192,-0.0192,1.6,20,-48,100
9.402,1.7175,19.973,-0.0179,-0.0192,1.6,20,-48,100
9.465,1.7175,20.901,-0.0179,-0.0179,1.6,20,-48,100
9.527,1.7175,20.901,-0.0115,-0.0179,1.6,20,-48,77
9.591,1.7175,20.901,-0.0115,-0.0166,1.6,20,-48,76
9.652,1.7175,20.901,0.0013,-0.0128,1.6,20,-48,76
9.718,1.7175,20.901,0.0013,-0.0192,1.6,20,-48,76
9.779,1.7175,22.148,0.0064,-0.0205,1.6,20,-48,76
9.84,1.7175,22.148,0.0064,-0.0205,1.6,20,-48,26
9.9,1.7175,22.148,0.009,-0.0154,1.6,20,-48,25
9.96,1.7175,22.148,0.0064,-0.0154,1.6,20,-48,25
10.022,1.7175,22.148,0.0051,-0.009,1.6,20,-48,24
10.09,1.7175,23.066,0.0038,-0.009,1.6,20,-48,24
10.152,1.7175,23.066,0.0026,-0.0077,1.6,20,-48,-13
10.211,1.7175,23.066,-0.0077,-0.0102,1.6,20,-48,-14
10.272,1.7175,23.066,-0.0115,-0.0128,1.6,20,-49,-14
10.341,1.7175,23.066,-0.0141,-0.0141,1.6,20,-49,-15
